word,pinyin,meaning
阿姨,āyí,"คุณป้า,คุณน้า"
矮,ǎi,เตี้ย
爱,ài,รัก
爱好,àihào,งานอดิเรก
安静,ānjìng,เงียบ
八,bā,แปด
把,bǎ,เอา
爸爸,bàba,พ่อ
吧,ba,"เถอะ,นะ"
白,bái,ขาว
百,bǎi,ร้อย
班,bān,ชั้นเรียน
搬,bān,ย้าย
半,bàn,ครึ่ง
办法,bànfǎ,"วิธี,วิธีการ"
办公室,bàngōngshì,สำนักงาน
帮忙,bāngmáng,ช่วยเหลือ
帮助,bāngzhù,"ช่วย,ช่วยเหลือ"
包,bāo,"ถุง,กระเป๋า,ห่อ"
饱,bǎo,อิ่ม
报纸,bàozhǐ,หนังสือพิมพ์
杯子,bēizi,แก้วน้ำ
北方,běifāng,ทางเหนือ
北京,běijīng,ปักกิ่ง
被,bèi,ถูก 
本,běn,เล่ม
鼻子,bízi,จมูก
比,bǐ,กว่า
比较,bǐjiào,ค่อนข้าง
比赛,bǐsài,แข่งขัน
必须,bìxū,จำเป็นต้อง
变化,biànhuà,เปลี่ยนแปลง
表示,biǎoshì,แสดง
表演,biǎoyǎn,"แสดง,การแสดง"
别,bié,อย่า
别人,biéren,คนอื่น
宾馆,bīnguǎn,โรงแรม
冰箱,bīngxiāng,ตู้เย็น
不客气,búkèqi,ไม่เป็นไร
不,bù,ไม่
才,cái,"แค่, เพิ่ง"
菜,cài,"ผัก,อาหาร"
菜单,càidān,เมนู
参加,cānjiā,เข้าร่วม
草,cǎo,หญ้า
层,céng,ชั้น
茶,chá,ชา
差,chà,ขาด
长,cháng,ยาว
唱歌,chànggē,ร้องเพลง
超市,chāoshì,ซุปเปอร์มาร์เก็ต
衬衫,chènshān,เสื้อเชิ้ต
成绩,chéngjì,"คะแนน,ผล"
城市,chéngshì,เมือง
吃,chī,กิน
迟到,chídào,สาย
出,chū,ออก
出现,chūxiàn,ปรากฏ
出租车,chūzūchē,แท็กซี่
厨房,chúfáng,ห้องครัว
除了,chúle,นอกจาก
穿,chuān,ใส่ สวม
船,chuán,เรือ
春,chūn,ฤดูใบไม้ผลิ
词语,cíyǔ,คำและวลี
次,cì,ครั้ง
聪明,cōngming,ฉลาด
从,cóng,จาก
错,cuò,ผิด
打电话,dǎdiànhuà,โทรศัพท์
打扫,dǎsǎo,ทำความสะอาด
打算,dǎsuàn,วางแผน
大,dà,ใหญ่
大家,dàjiā,ทุกคน
带,dài,"ถือติดตัว,พก"
担心,dānxīn,กังวล
蛋糕,dàngāo,เค้ก
但是,dànshì,แต่
当然,dāngrán,แน่นอน
到,dào,ถึง
地,de,"อย่าง,ด้วย"
的,de,ของ
得,de,"อย่าง,ได้"
灯,dēng,ไฟ
等,děng,รอ
低,dī,ต่ำ
弟弟,dìdi,น้องชาย
地方,dìfang,สถานที่
地铁,dìtiě,รถไฟฟ้าใต้ดิน
地图,dìtú,แผนที่
第一,dìyī,ที่หนึ่ง
点,diǎn,โมง
电脑,diànnǎo,คอมพิวเตอร์
电视,diànshì,โทรทัศน์
电梯,diàntī,ลิฟท์
电影,diànyǐng,ภาพยนตร์
东,dōng,ทิศตะวันออก
东西,dōngxi,สิ่งของ
冬,dōng,ฤดูหนาว
懂,dǒng,เข้าใจ
动物,dòngwù,สัตว์
都,dōu,ทั้งหมด
读,dú,"อ่าน,เรียน"
短,duǎn,สั้น
段,duàn,"ตอน,ช่วง"
锻炼,duànliàn,"ฝึกฝน,บริหาร"
对,duì,ถูก，ต่อ
对不起,duìbuqǐ,ขอโทษ
多,duō,มาก
多少,duōshao,เท่าไร
饿,è,หิว
而且,érqiě,และ
儿子,érzi,ลูกชาย
耳朵,ěrduo,หู
二,èr,สอง
发烧,fāshāo,เป็นไข้
发现,fāxiàn,ค้นพบ
饭馆,fànguǎn,ร้านอาหาร
方便,fāngbiàn,สะดวกสบาย
房间,fángjiān,ห้อง
放,fàng,"วาง,วางไว้"
放心,fàngxīn,"วางใจ,หมดห่วง"
非常,fēicháng,มาก
飞机,fēijī,เครื่องบิน
分,fēn,"แบ่ง,แยก"
分钟,fēnzhōng,นาที
服务员,fúwùyuán,พนักงาน
附近,fùjìn,"บริเวณใกล้เคียง,แถวนี้"
复习,fùxí,ทบทวน
